expected_sales_service_administrarive_dong_code,expected_sales_service_yn
11650610,FALSE
11650620,FALSE
11650621,TRUE
11650651,FALSE
11650652,TRUE
11650660,FALSE
11680510,FALSE
11680521,TRUE
11680531,FALSE
11680545,FALSE
11680565,TRUE
11680580,FALSE
11680590,TRUE
11680600,FALSE
11680610,FALSE
11680630,FALSE
11680640,FALSE
11680650,FALSE
11680655,TRUE
11680656,FALSE
11680660,FALSE
11680670,FALSE
11680690,FALSE
11680700,TRUE
11680720,FALSE
11680730,FALSE
11680740,FALSE
11680750,FALSE
11710510,TRUE
11710520,FALSE
11710531,TRUE
11710532,FALSE
11710540,FALSE
11710550,TRUE
11710561,FALSE
11710562,TRUE
11710566,FALSE
11710570,FALSE
11710580,TRUE
11710590,FALSE
11710600,TRUE
11710610,TRUE
11710620,FALSE
11710631,FALSE
11710632,FALSE
11710641,TRUE
11710642,TRUE
11710646,TRUE
11710647,FALSE
11710650,FALSE
11710670,TRUE
11710680,FALSE
11710690,FALSE
11710710,TRUE
11710720,FALSE
11740515,FALSE
11740520,FALSE
11740530,TRUE
11740540,TRUE
11740550,FALSE
11740560,FALSE
11740570,TRUE
11740580,TRUE
11740590,FALSE
11740600,TRUE
11740610,FALSE
11740620,TRUE
11740640,TRUE
11740650,TRUE
11740660,TRUE
11740685,FALSE
11740690,FALSE
11740700,FALSE
